config,perturbation,run_index,cell,soh,rmse_full_pct,rmse_tail_pct
pure current integration,no distortion,0,CC,1.0000,0.1012,0.1728
pure current integration,no distortion,1,CC,0.9468,0.0446,0.0361
pure current integration,no distortion,2,CC,0.9024,0.0641,0.1134
pure current integration,no distortion,3,CC,0.8622,0.0319,0.0309
pure current integration,no distortion,4,CC,0.7986,0.1213,0.1765
pure current integration,no distortion,5,CC,0.6957,0.4662,0.7599
pure current integration,no distortion,6,BOOST,1.0000,0.1777,0.2339
pure current integration,no distortion,7,BOOST,0.9438,0.1744,0.2570
pure current integration,no distortion,8,BOOST,0.8960,0.1161,0.1724
pure current integration,no distortion,9,BOOST,0.8507,0.0595,0.0901
pure current integration,no distortion,10,BOOST,0.7809,0.1280,0.1812
pure current integration,no distortion,11,BOOST,0.6921,0.3029,0.4864
pure current integration,no distortion,12,BOOST_NEGPULSE,1.0000,0.1863,0.2836
pure current integration,no distortion,13,BOOST_NEGPULSE,0.9330,0.0428,0.0409
pure current integration,no distortion,14,BOOST_NEGPULSE,0.8672,0.1309,0.1674
pure current integration,no distortion,15,BOOST_NEGPULSE,0.7944,0.1116,0.1538
pure current integration,no distortion,16,BOOST_NEGPULSE,0.7612,0.1663,0.2809
pure current integration,no distortion,17,BOOST_NEGPULSE,0.6821,0.1964,0.3276
pure current integration,no distortion,18,BOOST_REST,1.0000,0.0263,0.0408
pure current integration,no distortion,19,BOOST_REST,0.9384,0.1398,0.2186
pure current integration,no distortion,20,BOOST_REST,0.8642,0.0306,0.0351
pure current integration,no distortion,21,BOOST_REST,0.7854,0.1715,0.3287
pure current integration,no distortion,22,BOOST_REST,0.7398,0.0514,0.0575
pure current integration,no distortion,23,BOOST_REST,0.6915,0.0750,0.1023
pure current integration,no distortion,24,CC_CELL2,1.0000,0.0577,0.0830
pure current integration,no distortion,25,CC_CELL2,0.9320,0.0714,0.1039
pure current integration,no distortion,26,CC_CELL2,0.8829,0.0400,0.0673
pure current integration,no distortion,27,CC_CELL2,0.8282,0.0472,0.0650
pure current integration,no distortion,28,CC_CELL2,0.7679,0.0933,0.1378
pure current integration,no distortion,29,CC_CELL2,0.6870,0.2246,0.3675
pure current integration,no distortion,30,BOOST_NEGPULSE_1S,0.9909,0.0583,0.0894
pure current integration,no distortion,31,BOOST_NEGPULSE_1S,0.9339,0.0538,0.0850
pure current integration,no distortion,32,BOOST_NEGPULSE_1S,0.8724,0.0479,0.0579
pure current integration,no distortion,33,BOOST_NEGPULSE_1S,0.8251,0.0625,0.1067
pure current integration,no distortion,34,BOOST_NEGPULSE_1S,0.8251,0.1386,0.2076
pure current integration,no distortion,35,BOOST_NEGPULSE_1S,0.6925,0.4830,0.8644
pure current integration,initial SOC +10 %p,0,CC,1.0000,10.0674,10.1704
pure current integration,initial SOC +10 %p,1,CC,0.9468,10.0165,9.9842
pure current integration,initial SOC +10 %p,2,CC,0.9024,10.0177,10.0565
pure current integration,initial SOC +10 %p,3,CC,0.8622,10.0024,10.0115
pure current integration,initial SOC +10 %p,4,CC,0.7986,9.9036,9.8261
pure current integration,initial SOC +10 %p,5,CC,0.6957,9.6386,9.2693
pure current integration,initial SOC +10 %p,6,BOOST,1.0000,10.1429,10.2339
pure current integration,initial SOC +10 %p,7,BOOST,0.9438,9.8667,9.7433
pure current integration,initial SOC +10 %p,8,BOOST,0.8960,9.9164,9.8294
pure current integration,initial SOC +10 %p,9,BOOST,0.8507,9.9513,9.9107
pure current integration,initial SOC +10 %p,10,BOOST,0.7809,9.8981,9.8273
pure current integration,initial SOC +10 %p,11,BOOST,0.6921,9.7659,9.5495
pure current integration,initial SOC +10 %p,12,BOOST_NEGPULSE,1.0000,9.8426,9.7193
pure current integration,initial SOC +10 %p,13,BOOST_NEGPULSE,0.9330,10.0275,10.0352
pure current integration,initial SOC +10 %p,14,BOOST_NEGPULSE,0.8672,10.1095,10.1633
pure current integration,initial SOC +10 %p,15,BOOST_NEGPULSE,0.7944,10.0921,10.1525
pure current integration,initial SOC +10 %p,16,BOOST_NEGPULSE,0.7612,9.8747,9.7224
pure current integration,initial SOC +10 %p,17,BOOST_NEGPULSE,0.6821,9.8509,9.6841
pure current integration,initial SOC +10 %p,18,BOOST_REST,1.0000,9.9922,10.0123
pure current integration,initial SOC +10 %p,19,BOOST_REST,0.9384,10.1130,10.2137
pure current integration,initial SOC +10 %p,20,BOOST_REST,0.8642,9.9931,10.0236
pure current integration,initial SOC +10 %p,21,BOOST_REST,0.7854,10.1105,10.3211
pure current integration,initial SOC +10 %p,22,BOOST_REST,0.7398,9.9600,9.9529
pure current integration,initial SOC +10 %p,23,BOOST_REST,0.6915,9.9409,9.9126
pure current integration,initial SOC +10 %p,24,CC_CELL2,1.0000,10.0453,10.0804
pure current integration,initial SOC +10 %p,25,CC_CELL2,0.9320,10.0565,10.1000
pure current integration,initial SOC +10 %p,26,CC_CELL2,0.8829,9.9705,9.9384
pure current integration,initial SOC +10 %p,27,CC_CELL2,0.8282,9.9608,9.9363
pure current integration,initial SOC +10 %p,28,CC_CELL2,0.7679,9.9252,9.8677
pure current integration,initial SOC +10 %p,29,CC_CELL2,0.6870,9.8294,9.6588
pure current integration,initial SOC +10 %p,30,BOOST_NEGPULSE_1S,0.9909,9.9527,9.9109
pure current integration,initial SOC +10 %p,31,BOOST_NEGPULSE_1S,0.9339,9.9565,9.9171
pure current integration,initial SOC +10 %p,32,BOOST_NEGPULSE_1S,0.8724,10.0309,10.0438
pure current integration,initial SOC +10 %p,33,BOOST_NEGPULSE_1S,0.8251,9.9524,9.8961
pure current integration,initial SOC +10 %p,34,BOOST_NEGPULSE_1S,0.8251,9.8941,9.7978
pure current integration,initial SOC +10 %p,35,BOOST_NEGPULSE_1S,0.6925,9.6494,9.1518
pure current integration,initial SOC -10 %p,0,CC,1.0000,9.8603,9.6385
pure current integration,initial SOC -10 %p,1,CC,0.9468,9.9837,10.0158
pure current integration,initial SOC -10 %p,2,CC,0.9024,9.9826,9.9444
pure current integration,initial SOC -10 %p,3,CC,0.8622,9.9977,9.9885
pure current integration,initial SOC -10 %p,4,CC,0.7986,10.0970,10.1739
pure current integration,initial SOC -10 %p,5,CC,0.6957,10.3697,10.7347
pure current integration,initial SOC -10 %p,6,BOOST,1.0000,9.5943,9.0578
pure current integration,initial SOC -10 %p,7,BOOST,0.9438,10.1345,10.2567
pure current integration,initial SOC -10 %p,8,BOOST,0.8960,10.0842,10.1706
pure current integration,initial SOC -10 %p,9,BOOST,0.8507,10.0488,10.0892
pure current integration,initial SOC -10 %p,10,BOOST,0.7809,10.1024,10.1729
pure current integration,initial SOC -10 %p,11,BOOST,0.6921,10.2376,10.4536
pure current integration,initial SOC -10 %p,12,BOOST_NEGPULSE,1.0000,10.1102,10.1400
pure current integration,initial SOC -10 %p,13,BOOST_NEGPULSE,0.9330,9.9726,9.9648
pure current integration,initial SOC -10 %p,14,BOOST_NEGPULSE,0.8672,9.8910,9.8368
pure current integration,initial SOC -10 %p,15,BOOST_NEGPULSE,0.7944,9.9083,9.8474
pure current integration,initial SOC -10 %p,16,BOOST_NEGPULSE,0.7612,10.1264,10.2777
pure current integration,initial SOC -10 %p,17,BOOST_NEGPULSE,0.6821,10.1507,10.3166
pure current integration,initial SOC -10 %p,18,BOOST_REST,1.0000,10.0079,9.9877
pure current integration,initial SOC -10 %p,19,BOOST_REST,0.9384,9.8877,9.7864
pure current integration,initial SOC -10 %p,20,BOOST_REST,0.8642,10.0069,9.9764
pure current integration,initial SOC -10 %p,21,BOOST_REST,0.7854,9.8912,9.6793
pure current integration,initial SOC -10 %p,22,BOOST_REST,0.7398,10.0401,10.0471
pure current integration,initial SOC -10 %p,23,BOOST_REST,0.6915,10.0593,10.0876
pure current integration,initial SOC -10 %p,24,CC_CELL2,1.0000,9.8786,9.7185
pure current integration,initial SOC -10 %p,25,CC_CELL2,0.9320,9.9436,9.9001
pure current integration,initial SOC -10 %p,26,CC_CELL2,0.8829,10.0295,10.0616
pure current integration,initial SOC -10 %p,27,CC_CELL2,0.8282,10.0392,10.0637
pure current integration,initial SOC -10 %p,28,CC_CELL2,0.7679,10.0750,10.1323
pure current integration,initial SOC -10 %p,29,CC_CELL2,0.6870,10.1726,10.3429
pure current integration,initial SOC -10 %p,30,BOOST_NEGPULSE_1S,0.9909,10.0474,10.0890
pure current integration,initial SOC -10 %p,31,BOOST_NEGPULSE_1S,0.9339,10.0436,10.0829
